  0.000000000000e+000  1.000000000000e+004  4.997864232747e+002
  1.960784313725e-002  8.219477656586e+003  8.995728465494e+002
  3.921568627451e-002  6.755981294712e+003  1.217164493258e+003
  5.882352941176e-002  5.553063730020e+003  1.467196327020e+003
  7.843137254902e-002  4.564328325449e+003  1.661697523481e+003
  9.803921568627e-002  3.751639468835e+003  1.810555436688e+003
  1.176470588235e-001  3.083651678966e+003  1.921896955207e+003
  1.372549019608e-001  2.534600607595e+003  2.002401956936e+003
  1.568627450980e-001  2.083309306250e+003  2.057560952589e+003
  1.764705882353e-001  1.712371429448e+003  2.091886855180e+003
  1.960784313725e-001  1.407479870412e+003  2.109089043476e+003
  2.156862745098e-001  1.156874934695e+003  2.112216433068e+003
  2.352941176471e-001  9.508907677189e+002  2.103775073313e+003
  2.549019607843e-001  7.815825419119e+002  2.085824805880e+003
  2.745098039216e-001  6.424200240023e+002  2.060058713029e+003
  2.941176470588e-001  5.280357033430e+002  2.027868419938e+003
  3.137254901961e-001  4.340177665507e+002  1.990397769813e+003
  3.333333333333e-001  3.567399334725e+002  1.948586942023e+003
  3.529411764706e-001  2.932215912389e+002  1.903208714898e+003
  3.725490196078e-001  2.410128317617e+002  1.854898271860e+003
  3.921568627451e-001  1.980999585616e+002  1.804177700505e+003
  4.117647058824e-001  1.628278183168e+002  1.751476129565e+003
  4.313725490196e-001  1.338359614525e+002  1.697146280441e+003
  4.509803921569e-001  1.100061694807e+002  1.641478071703e+003
  4.705882352941e-001  9.041932521330e+001  1.584709801270e+003
  4.901960784314e-001  7.431996233143e+001  1.527037337584e+003
  5.098039215686e-001  6.108712698215e+001  1.468621674276e+003
  5.294117647059e-001  5.021042753348e+001  1.409595139697e+003
  5.490196078431e-001  4.127034872391e+001  1.350066500844e+003
  5.686274509804e-001  3.392207092157e+001  1.290125158503e+003
  5.882352941176e-001  2.788217040049e+001  1.229844595453e+003
  6.078431372549e-001  2.291768766240e+001  1.169285210698e+003
  6.274509803922e-001  1.883714216817e+001  1.108496649068e+003
  6.470588235294e-001  1.548314691652e+001  1.047519716015e+003
  6.666666666667e-001  1.272633801340e+001  9.863879514935e+002
  6.862745098039e-001  1.046038509513e+001  9.251289235917e+002
  7.058823529412e-001  8.597890156869e+000  8.637652918390e+002
  7.254901960784e-001  7.067016603817e+000  8.023156811847e+002
  7.450980392157e-001  5.808718507380e+000  7.407954003643e+002
  7.647058823529e-001  4.774463198480e+000  6.792170323589e+002
  7.843137254902e-001  3.924359358210e+000  6.175909197215e+002
  8.039215686275e-001  3.225618406122e+000  5.559255634905e+002
  8.235294117647e-001  2.651289841779e+000  4.942279510755e+002
  8.431372549020e-001  2.179221761564e+000  4.325038257620e+002
  8.627450980392e-001  1.791206457792e+000  3.707579082309e+002
  8.823529411765e-001  1.472278145815e+000  3.089940786353e+002
  9.019607843137e-001  1.210135732381e+000  2.472155262582e+002
  9.215686274510e-001  9.946683613742e-001  1.854248725237e+002
  9.411764705882e-001  8.175654372028e-001  1.236242721057e+002
  9.607843137255e-001  6.719960843885e-001  6.181549603327e+001
